epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,2068.35,0.66938,0.32373,0.77247,0.93542,0.7322,0.83308,0.58721,0.81393,0.37513,0.79286,0.000891125,0.000891125,0.000891125
118,2083.67,0.6709,0.32321,0.77549,0.91831,0.73908,0.82444,0.57076,0.82944,0.38057,0.79237,0.000888031,0.000888031,0.000888031
119,2099.1,0.71484,0.34128,0.77403,0.92677,0.70404,0.79726,0.54629,0.82317,0.3883,0.79317,0.000884938,0.000884938,0.000884938
120,2114.56,0.6865,0.32646,0.77497,0.91474,0.70497,0.80236,0.55211,0.83496,0.38139,0.79388,0.000881844,0.000881844,0.000881844
121,2129.94,0.64529,0.31373,0.77182,0.85387,0.73606,0.81222,0.57069,0.78537,0.36433,0.79101,0.00087875,0.00087875,0.00087875
122,2145.16,0.64549,0.30777,0.77041,0.88067,0.73467,0.80391,0.55624,0.79619,0.37565,0.79197,0.000875656,0.000875656,0.000875656
123,2160.6,0.64344,0.31262,0.77386,0.92308,0.7382,0.82751,0.56626,0.81102,0.37431,0.79147,0.000872563,0.000872563,0.000872563
124,2175.9,0.66154,0.31716,0.77376,0.87481,0.70769,0.79454,0.56039,0.81084,0.38378,0.79346,0.000869469,0.000869469,0.000869469
125,2191.29,0.64438,0.31381,0.77293,0.87553,0.75776,0.83101,0.57899,0.79973,0.37953,0.79144,0.000866375,0.000866375,0.000866375
126,2206.85,0.64822,0.31534,0.77281,0.89171,0.72979,0.82173,0.57587,0.8443,0.3836,0.79473,0.000863281,0.000863281,0.000863281
127,2222.29,0.69858,0.33782,0.77391,0.90535,0.75497,0.82683,0.59373,0.80326,0.37275,0.79116,0.000860188,0.000860188,0.000860188
128,2237.85,0.6479,0.31216,0.77216,0.91562,0.71288,0.81384,0.56154,0.80076,0.37925,0.79176,0.000857094,0.000857094,0.000857094
129,2253.27,0.63437,0.31047,0.77326,0.91178,0.73006,0.81231,0.55091,0.81428,0.38493,0.79279,0.000854,0.000854,0.000854
130,2268.69,0.64486,0.31212,0.77136,0.8797,0.7472,0.81838,0.56402,0.82834,0.38144,0.79331,0.000850906,0.000850906,0.000850906
131,2284.06,0.6768,0.32307,0.77472,0.92836,0.73504,0.83345,0.57824,0.80397,0.38579,0.7914,0.000847813,0.000847813,0.000847813
132,2299.42,0.66892,0.31901,0.77189,0.9498,0.76256,0.83833,0.58533,0.81974,0.37752,0.79175,0.000844719,0.000844719,0.000844719
133,2314.93,0.63171,0.30761,0.77351,0.95268,0.70437,0.81958,0.57415,0.80873,0.37797,0.79321,0.000841625,0.000841625,0.000841625
134,2330.29,0.64837,0.30961,0.77308,0.96101,0.73456,0.81865,0.5749,0.79188,0.38095,0.79079,0.000838531,0.000838531,0.000838531
135,2345.63,0.63492,0.30457,0.7705,0.94601,0.74392,0.83988,0.58712,0.79903,0.37244,0.79116,0.000835438,0.000835438,0.000835438
136,2360.89,0.62375,0.30502,0.77198,0.93522,0.74529,0.84157,0.59045,0.79439,0.37806,0.79039,0.000832344,0.000832344,0.000832344
137,2376.34,0.60764,0.29946,0.77058,0.91972,0.69833,0.79296,0.56143,0.80229,0.38135,0.79183,0.00082925,0.00082925,0.00082925
138,2391.66,0.6297,0.30698,0.77203,0.91506,0.69738,0.80852,0.55982,0.80951,0.38449,0.79227,0.000826156,0.000826156,0.000826156
139,2407.11,0.61998,0.30158,0.77235,0.95727,0.71319,0.84984,0.58679,0.81072,0.38624,0.79136,0.000823063,0.000823063,0.000823063
140,2422.52,0.62896,0.30471,0.77135,0.92496,0.70409,0.83104,0.57127,0.83021,0.39533,0.79191,0.000819969,0.000819969,0.000819969
141,2438,0.64394,0.31309,0.77087,0.90412,0.77423,0.83653,0.58575,0.79392,0.37689,0.78996,0.000816875,0.000816875,0.000816875
142,2453.37,0.68461,0.31921,0.77298,0.88281,0.77388,0.82903,0.58782,0.81677,0.37874,0.79097,0.000813781,0.000813781,0.000813781
143,2468.73,0.63657,0.30934,0.77285,0.87981,0.76827,0.83805,0.59759,0.78926,0.3726,0.78917,0.000810688,0.000810688,0.000810688
144,2484.26,0.62232,0.30112,0.7729,0.87802,0.75287,0.83525,0.59843,0.78525,0.38051,0.78955,0.000807594,0.000807594,0.000807594
145,2499.79,0.62958,0.30378,0.76926,0.88601,0.70632,0.80197,0.56787,0.78474,0.37769,0.79069,0.0008045,0.0008045,0.0008045
146,2515.27,0.60897,0.29614,0.76962,0.89225,0.76674,0.8253,0.58349,0.79317,0.36379,0.79053,0.000801406,0.000801406,0.000801406
147,2530.82,0.61496,0.30011,0.76951,0.94109,0.77995,0.84615,0.59476,0.80145,0.3738,0.79076,0.000798313,0.000798313,0.000798313
148,2546.06,0.61684,0.30518,0.7695,0.90788,0.7322,0.83371,0.59258,0.80725,0.37359,0.79076,0.000795219,0.000795219,0.000795219
149,2561.5,0.61193,0.29977,0.77069,0.9087,0.72691,0.8159,0.58429,0.8033,0.3616,0.79234,0.000792125,0.000792125,0.000792125
150,2576.92,0.5939,0.29283,0.77097,0.93949,0.69439,0.81589,0.57389,0.81879,0.38287,0.79135,0.000789031,0.000789031,0.000789031
151,2592.18,0.60396,0.29732,0.77079,0.91949,0.75767,0.83359,0.58705,0.78428,0.35838,0.7897,0.000785938,0.000785938,0.000785938
152,2607.43,0.60943,0.30194,0.77022,0.90218,0.72937,0.82094,0.57823,0.82806,0.37675,0.79206,0.000782844,0.000782844,0.000782844
153,2622.76,0.65238,0.30933,0.77262,0.90697,0.74597,0.82581,0.58191,0.82506,0.3748,0.79277,0.00077975,0.00077975,0.00077975
154,2638.1,0.62975,0.30243,0.76992,0.91625,0.74697,0.82597,0.58571,0.82007,0.37256,0.79305,0.000776656,0.000776656,0.000776656
155,2653.56,0.61269,0.29528,0.77063,0.92341,0.71735,0.80161,0.58133,0.79156,0.36661,0.79055,0.000773563,0.000773563,0.000773563
156,2668.87,0.60666,0.29124,0.77036,0.89405,0.72576,0.825,0.59033,0.80812,0.37311,0.79073,0.000770469,0.000770469,0.000770469
157,2684.14,0.61911,0.29565,0.77164,0.91522,0.68075,0.80297,0.56214,0.80788,0.38786,0.78943,0.000767375,0.000767375,0.000767375
158,2699.49,0.58951,0.28725,0.77155,0.89629,0.73714,0.81828,0.57344,0.81708,0.37951,0.7916,0.000764281,0.000764281,0.000764281
159,2714.68,0.59644,0.29264,0.76931,0.92279,0.7471,0.83072,0.59237,0.81528,0.37748,0.79091,0.000761188,0.000761188,0.000761188
160,2729.95,0.58866,0.29408,0.77155,0.92352,0.74495,0.81638,0.58445,0.80941,0.37321,0.79231,0.000758094,0.000758094,0.000758094
161,2745.18,0.63283,0.3052,0.77113,0.96089,0.72053,0.8134,0.58015,0.80471,0.3853,0.79218,0.000755,0.000755,0.000755
162,2760.39,0.61288,0.29877,0.77152,0.9423,0.72482,0.80455,0.57652,0.80183,0.3797,0.7908,0.000751906,0.000751906,0.000751906
163,2775.78,0.5747,0.28388,0.76945,0.94177,0.70542,0.81019,0.5768,0.80884,0.37107,0.7907,0.000748813,0.000748813,0.000748813
164,2791.01,0.58373,0.28712,0.76983,0.90111,0.71917,0.81579,0.58629,0.78316,0.36507,0.78939,0.000745719,0.000745719,0.000745719
165,2806.3,0.58451,0.28643,0.7718,0.88257,0.74389,0.82669,0.59253,0.79253,0.3757,0.78989,0.000742625,0.000742625,0.000742625
166,2821.34,0.5718,0.28284,0.77079,0.91548,0.75703,0.83455,0.59564,0.79208,0.36732,0.79117,0.000739531,0.000739531,0.000739531
167,2836.54,0.5934,0.28943,0.76913,0.92694,0.74367,0.81125,0.56638,0.80564,0.3705,0.79183,0.000736438,0.000736438,0.000736438
168,2851.84,0.59027,0.28975,0.77043,0.95078,0.73162,0.81433,0.57823,0.81355,0.37614,0.79213,0.000733344,0.000733344,0.000733344
169,2867.12,0.58543,0.29039,0.76907,0.96082,0.70704,0.81462,0.57645,0.81216,0.37313,0.79105,0.00073025,0.00073025,0.00073025
170,2882.39,0.57655,0.28439,0.76994,0.97283,0.71455,0.81822,0.57772,0.79912,0.37643,0.78983,0.000727156,0.000727156,0.000727156
171,2897.69,0.58213,0.28816,0.76888,0.91461,0.72546,0.79507,0.55001,0.80625,0.36542,0.79082,0.000724062,0.000724062,0.000724062
172,2912.99,0.58377,0.28976,0.76997,0.96868,0.70686,0.81122,0.57243,0.80484,0.36974,0.79165,0.000720969,0.000720969,0.000720969
173,2928.32,0.57369,0.28785,0.76765,0.91964,0.7239,0.7954,0.56171,0.79739,0.37886,0.79101,0.000717875,0.000717875,0.000717875
174,2943.61,0.59482,0.29132,0.76944,0.92763,0.74412,0.81316,0.56609,0.79782,0.36877,0.79066,0.000714781,0.000714781,0.000714781
175,2958.85,0.5612,0.2803,0.77205,0.9669,0.70783,0.80833,0.57394,0.81777,0.37956,0.79218,0.000711687,0.000711687,0.000711687
176,2973.97,0.58504,0.28527,0.77202,0.89991,0.71784,0.8112,0.57648,0.80709,0.37728,0.7904,0.000708594,0.000708594,0.000708594
177,2989.25,0.58907,0.28765,0.76985,0.90764,0.75249,0.814,0.57787,0.79922,0.36036,0.79136,0.0007055,0.0007055,0.0007055
178,3004.59,0.56389,0.27742,0.7662,0.9506,0.74782,0.81794,0.58781,0.80717,0.36192,0.79102,0.000702406,0.000702406,0.000702406
179,3019.83,0.58532,0.28388,0.76748,0.90533,0.70575,0.78694,0.5486,0.83851,0.39264,0.79372,0.000699312,0.000699312,0.000699312
180,3035.05,0.61238,0.2962,0.77032,0.932,0.72487,0.81772,0.59069,0.81936,0.37811,0.79188,0.000696219,0.000696219,0.000696219
